testid,cc,server,ping_type
9137136a-d128-4ce0-885e-44b15092455d,EG,1.1.1.1,icmp
b5411ff6-0572-4835-82d2-1992d5cd4d34,EG,8.8.8.8,icmp
cbb25d3f-a69c-41ac-a440-b1785f745c9e,EG,9.9.9.9,icmp
ea32926e-b652-48eb-b10b-0a76ae54ddee,BJ,1.1.1.1,icmp
fc26c840-3a76-4fdf-a67a-02a1c4a69714,BJ,8.8.8.8,icmp
0df0c099-3635-4d42-9a92-a669d5b08605,BJ,9.9.9.9,icmp
8390d9b7-cc33-4291-bb46-3904eb7855f0,CI,1.1.1.1,icmp
0adbc946-2c13-40d2-b8b8-367b3ba8217e,CI,8.8.8.8,icmp
c560c56c-9bbd-4a7e-8936-cae65ccd2968,CI,9.9.9.9,icmp
6573891e-bef2-4d42-a51c-985ae8d8cc9e,CV,1.1.1.1,icmp
b0c6c10b-68db-47b6-97d7-bb497954481a,CV,8.8.8.8,icmp
4adff4ac-e63b-4081-86a0-8c2c7fceba02,CV,9.9.9.9,icmp
1c9e89c4-60bc-454a-998d-878111236a7e,GH,1.1.1.1,icmp
f1468c7f-52aa-417a-b699-1a0bb5c099ec,GH,8.8.8.8,icmp
49f18eba-3813-47a4-8c80-a5a4eb880746,GH,9.9.9.9,icmp
82fde5e6-6e18-43c6-9e5b-78b4f224315b,GM,1.1.1.1,icmp
d84fbdb0-667f-4c37-8540-e06e7d51ffd1,GM,8.8.8.8,icmp
5b5a6a82-f565-4311-a847-4ce4c541e99b,GM,9.9.9.9,icmp
cd3a6829-fa60-4f83-bfea-21d8adb57cfc,GN,1.1.1.1,icmp
321a073a-0418-4f31-9d0c-38d5f0860adc,GN,8.8.8.8,icmp
cb3a3d5b-5b54-45ce-b56e-7dbb4fc0018f,GN,9.9.9.9,icmp
8e5ad5e2-2492-425c-b3ca-c637888a12e7,GW,1.1.1.1,icmp
766e1c11-f6a2-4779-8052-222a64d50b19,GW,8.8.8.8,icmp
93ca32b3-10db-4f97-915b-0e697aa0b330,GW,9.9.9.9,icmp
40d0f58f-9a61-401a-b5b9-3f392dab5f1b,AO,1.1.1.1,icmp
2d531941-a378-406d-984a-7358bc9cd3fb,AO,8.8.8.8,icmp
3beb5e2c-1111-4f25-978d-ee708a55598b,AO,9.9.9.9,icmp
0c893af1-368c-4520-b39a-1470b05916db,CF,1.1.1.1,icmp
a57ce23a-613e-459a-b169-756164e225cd,CF,8.8.8.8,icmp
caed4b4a-854d-435d-9034-a1476acfa6c5,CF,9.9.9.9,icmp
2779e0f5-104a-4e01-8e75-bdb8ef07a417,CG,1.1.1.1,icmp
9f4af27a-1a38-4409-b37c-d5a3c7a7f6d6,CG,8.8.8.8,icmp
e3b2a93b-226a-47ed-a1e3-759ceea4313c,CG,9.9.9.9,icmp
19e9e605-2deb-4b75-91ad-5fc167131d38,CM,1.1.1.1,icmp
25719d9e-91bd-41da-9879-5827526336c6,CM,8.8.8.8,icmp
0964d563-9d4c-459e-b148-61728849cc00,CM,9.9.9.9,icmp
cfa857da-e70c-4b11-897d-254b24a27a34,GA,1.1.1.1,icmp
59036301-870b-402d-8ad5-40842944cae1,GA,8.8.8.8,icmp
6cc00079-bd06-4e8c-9e97-b4aa81d73f9d,GA,9.9.9.9,icmp
a73616c2-4dbc-409c-b7f7-be224df69fbf,GQ,1.1.1.1,icmp
270aace3-aadd-4069-a90d-33eaa0cb0267,GQ,8.8.8.8,icmp
192a3378-2dfb-43e3-93db-a55a7d123fff,GQ,9.9.9.9,icmp
1ad312e7-38fb-4fa8-ae39-a907c4900cca,TD,1.1.1.1,icmp
b1334ac5-bcc5-4bcb-addb-29e8a7171d1e,TD,8.8.8.8,icmp
f37385a4-cb17-4b80-b0b2-d6e943691a85,TD,9.9.9.9,icmp
3d5d6c15-3b02-4e0c-a307-32078da1d118,BI,1.1.1.1,icmp
f19feca4-f7e0-499b-be8f-06f09bb00652,BI,8.8.8.8,icmp
6fd4e48d-1083-40af-b3e4-67d8b086829a,BI,9.9.9.9,icmp
9a23d3aa-57a6-4673-b57a-3588a1336ebb,DJ,1.1.1.1,icmp
634a1e39-e415-49e8-958d-871b204a450d,DJ,8.8.8.8,icmp
927d509b-8c8c-41e8-b5ab-a376941a116b,DJ,9.9.9.9,icmp
e26eb58c-e92c-4268-a1e3-e7f13488283a,ER,1.1.1.1,icmp
f9f45133-587c-4fe1-8d04-2d633cc3b04a,ER,8.8.8.8,icmp
143fde96-80f8-41a2-a28b-f5943d4d5132,ER,9.9.9.9,icmp
c30d56c7-c7f3-4f7b-a850-41d37557d3c9,ET,1.1.1.1,icmp
aea0b2d9-c27f-42a1-bf30-40e6f653a907,ET,8.8.8.8,icmp
f20cec48-0226-48cb-80ff-72341f076d82,ET,9.9.9.9,icmp
8c37f28c-36e5-4934-9a4e-0cefdb83c2fa,KM,1.1.1.1,icmp
ceb2a9ee-53a0-42fd-88bb-06c75e27b956,KM,8.8.8.8,icmp
a7f9909d-8fff-42b8-a589-3dd25ca4b385,KM,9.9.9.9,icmp
6e4e48a4-6b37-457b-8463-83dc37730817,BW,1.1.1.1,icmp
46d6f694-9a6f-44e0-bea3-1eb7c95b2f47,BW,8.8.8.8,icmp
fd844d27-2ce7-4749-aa7d-9d18a5658ff0,BW,9.9.9.9,icmp
3585609c-7833-4011-a4fa-fd4652edf8fd,MA,1.1.1.1,icmp
f141cec2-d1ef-49b2-81d0-d7e0f1e144a8,MA,8.8.8.8,icmp
beaf8131-cf22-47da-accd-6994893beef8,MA,9.9.9.9,icmp
4390fcde-a122-45b4-9fc3-60250e3fe8a2,SD,1.1.1.1,icmp
bcb495d0-2ef9-42f3-b901-aed75cac1b88,SD,8.8.8.8,icmp
412aff45-52e4-4e35-baa0-fe8dcfe77e1d,SD,9.9.9.9,icmp
a618f43b-4714-4f9c-860e-973513579e8b,TN,1.1.1.1,icmp
7fd34e62-f575-407e-b157-1e106248374c,TN,8.8.8.8,icmp
c04a7693-38ad-4d86-afa0-1228451611d3,TN,9.9.9.9,icmp
e8d35d80-f4be-403d-abc3-7fa4539e482d,LR,1.1.1.1,icmp
9a90d696-8e29-413e-9227-9815d6e910da,LR,8.8.8.8,icmp
03eb4226-27a1-48ac-96f8-9cd2af41882e,LR,9.9.9.9,icmp
988688e3-ed5c-468c-9d87-e48c6001e97a,ML,1.1.1.1,icmp
c83d4b78-a411-4a29-bd01-adf225886e73,ML,8.8.8.8,icmp
5d4fa9ac-5289-4c1f-bd01-15c68082047d,ML,9.9.9.9,icmp
2f1e8311-2726-4fd0-8a7b-262cddfa0898,MR,1.1.1.1,icmp
85338dba-9ab9-4953-83bc-c565a4ad2a5c,MR,8.8.8.8,icmp
c743f5ad-2bd8-4fc6-ad3e-1bb97974d92e,MR,9.9.9.9,icmp
55279e9c-14bd-46d9-b7f4-d53bcdc7bbf8,NE,1.1.1.1,icmp
1d2af1ca-118b-460f-aea9-5fcb10203787,NE,8.8.8.8,icmp
9167c429-18c4-4b17-9e28-c78da0bdbafc,NE,9.9.9.9,icmp
5d38286a-455d-4b1e-af75-05bcc8da9ddb,NG,1.1.1.1,icmp
896ba969-d8f9-4c59-b652-278b6eb9d3f0,NG,8.8.8.8,icmp
6afd9756-6e5b-4f16-8fc2-2da85d6be4e6,NG,9.9.9.9,icmp
6515c3f6-787a-4c86-8bf4-ebd2c95c3009,SL,1.1.1.1,icmp
f8a0a393-1824-4f20-bac7-6a0d0f3e0e3c,SL,8.8.8.8,icmp
ef0ddc24-ed09-420d-99c1-bd335f72f174,SL,9.9.9.9,icmp
c0776934-6197-40b5-82a1-73c63ce13a25,SN,1.1.1.1,icmp
cb8c45ec-720d-499d-8e66-01071d489c72,SN,8.8.8.8,icmp
5d0696a3-54f4-4945-964b-bf250c3fabfb,SN,9.9.9.9,icmp
9d0f4cdd-1332-4343-94f2-8ca1582bcaea,TG,1.1.1.1,icmp
c76551a2-21d3-46aa-ad48-605061ad29dc,TG,8.8.8.8,icmp
98b8c0f6-7531-4447-bd74-dd274b481cc2,TG,9.9.9.9,icmp
950f9981-6d55-4c1f-885d-91e0b9c545e4,ST,1.1.1.1,icmp
e5700d15-23f7-4193-b921-ae0478e3c4f4,ST,8.8.8.8,icmp
dbb303f9-ad9b-40cd-8e6d-7fcb6342f55b,ST,9.9.9.9,icmp
f1a96d56-bee9-4664-a627-ebd58bade0b3,KE,1.1.1.1,icmp
4d993f0b-4734-45a2-92a5-6f7f9afa3fbc,KE,8.8.8.8,icmp
c4b423da-aba3-4780-b538-37bc4a7119ce,KE,9.9.9.9,icmp
4f67ec94-37ea-4389-a792-8f83f337bd11,MG,1.1.1.1,icmp
88b3f654-97ed-49e8-972f-ba2e6e85da6a,MG,8.8.8.8,icmp
614b2b60-c8e1-4725-9c7b-ad5270618596,MG,9.9.9.9,icmp
190e2e5d-88a0-4cf6-b680-6c9a6de24ad6,MU,1.1.1.1,icmp
0481c356-9bf3-456e-b3dd-7989f0fc1c45,MU,8.8.8.8,icmp
f96fe148-34c4-448b-9018-3e862edec01c,MU,9.9.9.9,icmp
00e2073e-1f55-4cc3-a510-caaeddb6671a,MW,1.1.1.1,icmp
41e31f7d-4a65-43e2-b836-1677b6814115,MW,8.8.8.8,icmp
263e0bfd-ef3a-421f-8c28-169bc078af06,MW,9.9.9.9,icmp
9a83cc18-b485-4ed3-9575-3983375e4845,MZ,1.1.1.1,icmp
560342b4-5f20-411f-9676-7541445c295a,MZ,8.8.8.8,icmp
981e6c8a-1524-4403-bc75-ddde87b14260,MZ,9.9.9.9,icmp
de754294-abb6-46d9-b1b1-900df239d5db,RE,1.1.1.1,icmp
857b64ff-0128-403a-96e9-e5db63c3bf2c,RE,8.8.8.8,icmp
2bd46b26-6e1f-49fe-a7e2-dd1ac089ddf8,RE,9.9.9.9,icmp
ede1ede2-1aa5-43f7-813e-1b6a2b9b2e70,RW,1.1.1.1,icmp
ebe28f09-64c5-4664-877d-bfe81b291726,RW,8.8.8.8,icmp
08097a5f-e1dc-487f-b9bc-600a79559479,RW,9.9.9.9,icmp
b733d92c-3834-48ea-bc7f-0e5817742af2,SC,1.1.1.1,icmp
2dd86b01-9034-4b5c-8ee9-dd0cafe6b6da,SC,8.8.8.8,icmp
8fe84465-587e-43f4-9997-39b2eac8b773,SC,9.9.9.9,icmp
25ef40f1-dd2b-4ae5-9eb7-78cbac3a998d,SO,1.1.1.1,icmp
bacf6ea2-df0d-4a12-a118-68fee0028d3b,SO,8.8.8.8,icmp
81105960-5f85-4231-89c5-0531ec6c4b04,SO,9.9.9.9,icmp
febb1855-d71c-4fa3-8483-c31e81bcf405,UG,1.1.1.1,icmp
56e9288e-b91c-42e8-bf29-2eb5e4f498b8,UG,8.8.8.8,icmp
16e17ba8-1344-4597-9100-d75e83512ec7,UG,9.9.9.9,icmp
22f5a41d-1da1-4077-9c23-7bc2545b710b,LS,1.1.1.1,icmp
2c6e1e50-2adc-466b-9a5d-dbb6c2066d25,LS,8.8.8.8,icmp
d18ed179-3e4d-4a9c-a268-b90daac5a2d5,LS,9.9.9.9,icmp
75664fbb-c351-47b0-bfa0-651e00ce886c,NA,1.1.1.1,icmp
b138b897-b49e-42a3-b40f-4d5208087340,NA,8.8.8.8,icmp
66e4bb88-0c5b-45a3-9b3f-0906a2419cc2,NA,9.9.9.9,icmp
97238e94-a099-4940-8111-5b882b8ef7da,SZ,1.1.1.1,icmp
a136b93b-8119-422a-b0de-ab484e5750e0,SZ,8.8.8.8,icmp
55825de1-0585-411e-8509-e1ef51e3968b,SZ,9.9.9.9,icmp
6385ff27-7b4f-44e4-b24b-c1b15133163c,ZA,1.1.1.1,icmp
2e95b385-de8a-41ae-868a-5356f1190731,ZA,8.8.8.8,icmp
396489f7-e813-4e3d-9d6c-4b84cf4e1dee,ZA,9.9.9.9,icmp
548d122f-7fcf-4263-ad94-52bab136aad0,DZ,1.1.1.1,icmp
313abbd3-aa12-43b8-8c17-d2bcf3a25f4a,DZ,8.8.8.8,icmp
4fa474f2-e5fa-4bc8-ad19-0fe88165366c,DZ,9.9.9.9,icmp
a41d2db0-c60b-472a-a8b1-426c8e9a4ebb,EH,1.1.1.1,icmp
b5d27574-227b-491f-b4c6-19ea9791787f,EH,8.8.8.8,icmp
af491cde-efe9-4075-9a85-890b11907a0b,EH,9.9.9.9,icmp
1d06e798-ca56-43d7-a7be-f37838291e55,LY,1.1.1.1,icmp
4a3ec0e9-a177-478d-b76b-946c58c02143,LY,8.8.8.8,icmp
46c3061f-5492-47e5-b491-39d9ea2dac9a,LY,9.9.9.9,icmp
2db5b59c-11cd-41b1-810f-d0b351287881,BF,1.1.1.1,icmp
57c728cb-51ac-4818-9ffb-3a68afde99e0,BF,8.8.8.8,icmp
4087ff09-1467-413b-9bd2-cf6aeaa8bb13,BF,9.9.9.9,icmp
162b39e5-96e0-4dae-85f7-072fbb3f46f8,SH,1.1.1.1,icmp
50874dcf-b81e-4a16-a71f-2a8515b73202,SH,8.8.8.8,icmp
e55f0aba-1774-4db8-be7e-47dba2b17346,SH,9.9.9.9,icmp
df56ceea-4d67-4326-93b3-9a2c65d5a856,CD,1.1.1.1,icmp
d54fc14b-f389-4540-8fb0-7b4a80775bff,CD,8.8.8.8,icmp
9f41a5c7-a8e3-4881-8e2f-20be400248d6,CD,9.9.9.9,icmp
78cdb454-8960-480c-8d74-46cb52d7fd05,TZ,1.1.1.1,icmp
3718d81d-7fec-4aec-b205-9a4df1be33ee,TZ,8.8.8.8,icmp
fc7bb66c-17bb-4b77-b939-db6f4c12a4c9,TZ,9.9.9.9,icmp
e41c2939-71d5-4da9-a161-1a726ade96e5,YT,1.1.1.1,icmp
0c9abf4c-1749-499f-a6ae-fabc08f82dbc,YT,8.8.8.8,icmp
a4082130-6355-4e94-9c3d-95e232c5d789,YT,9.9.9.9,icmp
42b5ee20-2255-4596-a835-b3f9681c8609,ZM,1.1.1.1,icmp
7a81a6c8-25a6-4132-b50b-2db47ba09cc9,ZM,8.8.8.8,icmp
2017d7e2-8ed3-4d6a-869d-44ea7af72bcb,ZM,9.9.9.9,icmp
bb63b129-e750-44a6-92f0-b4d7192f28fa,ZW,1.1.1.1,icmp
2195c151-dc5c-4aca-bc20-9d818238a24f,ZW,8.8.8.8,icmp
4d350d91-0ae3-4d6f-aa2b-6f7f5f09cecc,ZW,9.9.9.9,icmp
