ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,IPTarget,rtt1,rtt2,rtt3,avg_rtt
8452,Unknown,EG,,196.218.127.141,TE Data,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561724996398+0000)/,1.1.1.1,24,24,24,24
8452,adsl,EG,,197.58.63.169,TE Data,cbe174ea-e115-4e83-b52f-602a77c90382,/Date(1561724996528+0000)/,1.1.1.1,26,26,26,26
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1561724997245+0000)/,1.1.1.1,60,55,53,56
8452,WIFI,EG,163.121.128.214,156.209.138.168,TE Data,f5e795a7-e1ba-49ab-8d63-672cdf54d98c,/Date(1561724997591+0000)/,1.1.1.1,56,182,57,98
36992,WIFI,EG,62.140.79.238,41.176.200.45,Etisalat Misr,8ce26433-7e3f-4aa1-9ba7-9111ee5838b9,/Date(1561724998094+0000)/,1.1.1.1,41,40,49,43
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561725002172+0000)/,1.1.1.1,63,41,71,58
8452,WIFI,EG,172.253.14.3,41.40.225.211,TE Data,8e143351-09d2-4c64-9f57-336f16d08813,/Date(1561725002862+0000)/,1.1.1.1,37,40,34,37
8452,WIFI,EG,163.121.128.206,41.35.56.224,TE Data,317a81c0-ca09-4d0f-bf7d-ceafb9e9b11d,/Date(1561725003605+0000)/,1.1.1.1,50,45,35,43
8452,WIFI,EG,156.200.40.66,41.45.90.251,TE Data,903e5e30-7b6e-48c8-a162-926c52295da6,/Date(1561725009336+0000)/,1.1.1.1,46,49,59,51
24863,Unknown,EG,,41.128.147.99,Link Egypt,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561724997693+0000)/,8.8.8.8,6,6,6,6
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561724998663+0000)/,8.8.8.8,67,84,79,76
24835,WIFI,EG,62.240.113.124,41.68.138.182,Vodafone Egypt,c8d57421-84d4-4f88-913d-ce9609172064,/Date(1561725000344+0000)/,8.8.8.8,78,82,338,166
8452,WIFI,EG,163.121.128.206,156.220.196.13,TE Data,04875072-b164-40c5-9aeb-4b1cd432ae1a,/Date(1561725004625+0000)/,8.8.8.8,63,61,222,115
8452,WIFI,EG,156.200.40.66,197.32.107.X,TE Data,NONE,/Date(1561725006020+0000)/,8.8.8.8,201,192,194,195
8452,WIFI,EG,163.121.128.206,156.220.92.146,TE Data,99115235-5884-4ada-8204-c99505ec7904,/Date(1561725006954+0000)/,8.8.8.8,103,122,104,109
8452,WIFI,EG,163.121.128.206,41.35.56.224,TE Data,317a81c0-ca09-4d0f-bf7d-ceafb9e9b11d,/Date(1561725014042+0000)/,8.8.8.8,77,77,79,77
8452,WIFI,EG,163.121.128.214,156.209.138.168,TE Data,f5e795a7-e1ba-49ab-8d63-672cdf54d98c,/Date(1561725014150+0000)/,8.8.8.8,71,70,86,75
24835,WIFI,EG,62.240.113.124,102.186.90.234,Vodafone Egypt,08502e13-a0f7-4205-ac81-96870da75187,/Date(1561725014781+0000)/,8.8.8.8,82,174,392,216
8452,WIFI,EG,172.253.14.3,41.40.225.211,TE Data,8e143351-09d2-4c64-9f57-336f16d08813,/Date(1561725018942+0000)/,8.8.8.8,68,67,69,68
24835,WIFI,EG,62.240.113.124,102.186.90.234,Vodafone Egypt,08502e13-a0f7-4205-ac81-96870da75187,/Date(1561724999782+0000)/,9.9.9.9,45,45,43,44
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561725000125+0000)/,9.9.9.9,407,202,100,236
8452,WIFI,EG,163.121.128.206,156.220.196.13,TE Data,04875072-b164-40c5-9aeb-4b1cd432ae1a,/Date(1561725002550+0000)/,9.9.9.9,205,857,778,613
8452,WIFI,EG,172.253.14.3,41.40.225.211,TE Data,8e143351-09d2-4c64-9f57-336f16d08813,/Date(1561725004397+0000)/,9.9.9.9,97,94,102,97
8452,WIFI,EG,163.121.128.206,41.35.56.224,TE Data,317a81c0-ca09-4d0f-bf7d-ceafb9e9b11d,/Date(1561725004460+0000)/,9.9.9.9,94,94,97,95
24835,WIFI,EG,62.240.113.124,41.68.138.182,Vodafone Egypt,c8d57421-84d4-4f88-913d-ce9609172064,/Date(1561725005796+0000)/,9.9.9.9,498,823,464,595
36992,WIFI,EG,62.140.79.238,41.176.200.45,Etisalat Misr,8ce26433-7e3f-4aa1-9ba7-9111ee5838b9,/Date(1561725005969+0000)/,9.9.9.9,100,97,297,164
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561725006206+0000)/,9.9.9.9,18,36,24,26
36992,WIFI,EG,62.140.102.102,154.237.69.67,Etisalat Misr,33b0a652-d974-4b49-acd3-719ec5fc2ae5,/Date(1561725007963+0000)/,9.9.9.9,92,91,108,97
8452,WIFI,EG,156.200.40.66,41.45.90.251,TE Data,903e5e30-7b6e-48c8-a162-926c52295da6,/Date(1561725008289+0000)/,9.9.9.9,181,106,101,129
29571,"Wireless80211,Tunnel",CI,74.125.47.3,160.120.130.186,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561725012183+0000)/,1.1.1.1,611,820,814,748
37461,WIFI,GN,197.149.225.10,197.149.221.87,Orange Guinee,c68000c4-c84f-40bd-a233-0d087876bafe,/Date(1561725016724+0000)/,1.1.1.1,391,192,228,270
37461,WIFI,GN,197.149.225.10,197.149.221.87,Orange Guinee,c68000c4-c84f-40bd-a233-0d087876bafe,/Date(1561725016721+0000)/,8.8.8.8,344,166,486,332
37461,WIFI,GN,197.149.225.10,197.149.221.87,Orange Guinee,c68000c4-c84f-40bd-a233-0d087876bafe,/Date(1561725016083+0000)/,9.9.9.9,331,211,498,346
37645,cable,AO,,129.122.223.103,ZAP-Angola,1458129e-8b3d-408f-bb94-02360bbab403,/Date(1561725014916+0000)/,1.1.1.1,2,2,2,2
37645,cable,AO,,129.122.223.103,ZAP-Angola,1458129e-8b3d-408f-bb94-02360bbab403,/Date(1561725015448+0000)/,8.8.8.8,56,56,56,56
37645,cable,AO,,129.122.223.103,ZAP-Angola,1458129e-8b3d-408f-bb94-02360bbab403,/Date(1561725015935+0000)/,9.9.9.9,3,3,3,3
327802,Wireless80211,TD,,154.73.166.26,Millicom-chad,8c27c5a6-c894-402e-9c09-8d27434cb33a,/Date(1561725024956+0000)/,1.1.1.1,51,49,84,61
30990,Unknown,DJ,,196.201.202.76,Djibouti Telecom S.A.,b7c5d3b2-36cc-4f61-8d42-319d01964bbb,/Date(1561725027332+0000)/,1.1.1.1,23,8,5,12
30990,Unknown,DJ,,196.201.202.76,Djibouti Telecom S.A.,b7c5d3b2-36cc-4f61-8d42-319d01964bbb,/Date(1561725028511+0000)/,9.9.9.9,73,68,73,71
14988,Ethernet,BW,173.194.169.6,168.167.36.253,This is an allocation to BTCL,9f3f7ca6-5c37-4e7f-af84-162b3b6bb5e4,/Date(1561725034444+0000)/,1.1.1.1,14,14,14,14
36903,WIFI,MA,81.192.17.18,105.156.129.104,Maroc Telecom,797d66b9-7128-4d44-81d4-f880e887acde,/Date(1561725035835+0000)/,1.1.1.1,73,73,70,72
36903,WIFI,MA,81.192.17.86,196.217.97.176,Maroc Telecom,41208e5f-88d2-42ad-9a6a-0b70a330bb31,/Date(1561725036067+0000)/,1.1.1.1,57,64,61,60
36903,WIFI,MA,81.192.17.18,160.176.75.48,Maroc Telecom ADSL,a927a7c9-add3-426b-9512-ad8c3e40379f,/Date(1561725043535+0000)/,1.1.1.1,65,76,81,74
36903,WIFI,MA,81.192.17.86,196.65.23.51,Maroc Telecom,24b96608-66f3-42a6-9079-cb0ca2457862,/Date(1561725045337+0000)/,1.1.1.1,355,440,454,416
36925,WIFI,MA,172.253.14.4,41.249.189.41,Fixed B2B and Residential Orange Maroc Customers,2dba4aef-be59-4756-9c77-27e60e55ae27,/Date(1561725045724+0000)/,1.1.1.1,3,8,3,4
36903,WIFI,MA,81.192.17.18,105.158.64.100,Maroc Telecom,9db0d83c-a78c-4cff-bbf7-640afa3822b5,/Date(1561725045929+0000)/,1.1.1.1,68,82,72,74
36903,WIFI,MA,81.192.17.26,41.143.142.89,Maroc Telecom,3fa9b542-be7d-4999-93b8-4ee8f6c7e5d3,/Date(1561725047782+0000)/,1.1.1.1,1026,173,168,455
36903,WIFI,MA,81.192.17.86,105.156.254.186,Maroc Telecom,415dd22f-f0db-492a-b45e-99657df62252,/Date(1561725049138+0000)/,1.1.1.1,60,57,115,77
36903,WIFI,MA,81.192.17.90,41.250.178.115,Maroc Telecom,77b29b49-ace0-488f-84da-7abd7e70e6f2,/Date(1561725049230+0000)/,1.1.1.1,33,32,32,32
36903,WIFI,MA,81.192.17.18,41.250.220.185,Maroc Telecom,0d6b117e-5e7a-44a8-974f-3378b8bae7e0,/Date(1561725055502+0000)/,1.1.1.1,32,32,43,35
36903,WIFI,MA,81.192.17.82,196.74.224.242,Maroc Telecom,af491404-780d-4e03-8458-89351c70db43,/Date(1561725044428+0000)/,8.8.8.8,90,101,92,94
36903,WIFI,MA,81.192.17.26,41.141.14.136,Maroc Telecom,e04a55f0-74e7-4e90-9289-516cd598ccd3,/Date(1561725048963+0000)/,8.8.8.8,63,66,66,65
36903,WIFI,MA,81.192.17.86,196.65.23.51,Maroc Telecom,24b96608-66f3-42a6-9079-cb0ca2457862,/Date(1561725049727+0000)/,8.8.8.8,609,190,289,362
6713,Ethernet,MA,81.192.17.18,196.92.5.102,Maroc Telecom,98156c23-0e8a-49fd-8884-7951b96c3cb6,/Date(1561725051315+0000)/,8.8.8.8,33,31,33,32
36903,WIFI,MA,81.192.17.18,196.74.178.85,Maroc Telecom,9c9ff5b8-3093-4d8e-91b1-9ebac6a0d734,/Date(1561725061833+0000)/,8.8.8.8,68,65,221,118
36903,Wireless80211,MA,81.192.17.26,41.142.174.223,Maroc Telecom,6f3f1dbe-f0a4-4eb9-864e-fad9d819db4b,/Date(1561725063991+0000)/,8.8.8.8,295,289,297,293
36903,WIFI,MA,81.192.17.18,41.142.75.47,Maroc Telecom,c01d3dd8-4129-489c-aacf-a7a241bf9198,/Date(1561725066097+0000)/,8.8.8.8,54,73,70,65
36903,WIFI,MA,81.192.17.86,41.251.97.125,Maroc Telecom,1cb85bf1-bf6c-4ace-aed7-8872d5bf497c,/Date(1561725066799+0000)/,8.8.8.8,96,108,112,105
36903,WIFI,MA,81.192.17.90,160.178.185.183,Maroc Telecom ADSL,d5191903-fe23-4a9c-8be5-cf28f96a1ec5,/Date(1561725068718+0000)/,8.8.8.8,58,58,69,61
36903,fiber,MA,,160.177.162.102,Maroc Telecom ADSL,861da993-58de-4234-bb26-2d4e30693130,/Date(1561725036150+0000)/,9.9.9.9,54,54,54,54
36925,WIFI,MA,172.253.14.4,160.178.81.219,Fixed B2B and Residential Orange Maroc Customers,2dba4aef-be59-4756-9c77-27e60e55ae27,/Date(1561725037018+0000)/,9.9.9.9,65,61,86,70
36903,WIFI,MA,81.192.17.18,105.158.64.100,Maroc Telecom,9db0d83c-a78c-4cff-bbf7-640afa3822b5,/Date(1561725037083+0000)/,9.9.9.9,87,107,104,99
36925,WIFI,MA,197.230.202.129,197.247.51.28,Orange Morocco,977a8934-cae8-4314-9dcd-925515fd32f8,/Date(1561725037125+0000)/,9.9.9.9,68,65,62,65
36903,WIFI,MA,81.192.17.22,196.89.236.190,Maroc Telecom,a6f62d82-451c-417f-8b35-5fe425c05cf9,/Date(1561725037252+0000)/,9.9.9.9,93,98,94,95
36903,WIFI,MA,81.192.17.86,196.65.20.137,Maroc Telecom,e0caf504-7f5c-4f6c-87db-8b0e73fd9d2c,/Date(1561725037453+0000)/,9.9.9.9,94,354,275,241
36903,Wireless80211,MA,81.192.17.82,196.74.228.158,Maroc Telecom,5a99a7f5-8020-4ce8-a94c-90a98021d060,/Date(1561725039520+0000)/,9.9.9.9,173,144,,158
36903,WIFI,MA,81.192.17.18,105.157.142.50,Maroc Telecom,8a555b9c-1e95-4809-bfde-ade7c72e4a5a,/Date(1561725039839+0000)/,9.9.9.9,78,81,579,246
36903,WIFI,MA,81.192.17.90,105.155.183.204,Maroc Telecom,32c9d3bc-403c-4ce8-ac36-372d2c92d380,/Date(1561725039901+0000)/,9.9.9.9,110,368,129,202
36903,WIFI,MA,81.192.17.22,41.142.85.4,Maroc Telecom,1b6a0dcb-6b52-44c5-9813-1d5efb2e93b4,/Date(1561725045568+0000)/,9.9.9.9,103,148,123,124
37211,"Ethernet,Ethernet",SD,162.158.82.196,196.223.156.192,Max-net-for-internet-services,1a512351-8fbe-440f-8ea2-fcaf222c3111,/Date(1561725038203+0000)/,1.1.1.1,125,124,124,124
37211,"Ethernet,Ethernet",SD,162.158.82.196,196.223.156.192,Max-net-for-internet-services,1a512351-8fbe-440f-8ea2-fcaf222c3111,/Date(1561725041503+0000)/,8.8.8.8,107,114,111,110
37211,"Ethernet,Ethernet",SD,162.158.82.196,196.223.156.192,Max-net-for-internet-services,1a512351-8fbe-440f-8ea2-fcaf222c3111,/Date(1561725044504+0000)/,9.9.9.9,104,125,111,113
37705,WIFI,TN,172.253.14.3,102.156.19.79,TOPNET,eea4660a-5242-4791-bfd8-2c09f7b9940c,/Date(1561725038946+0000)/,1.1.1.1,45,52,52,49
37705,WIFI,TN,172.253.11.1,197.0.168.89,TOPNET,7710bc78-42e7-42b7-ae06-74d209f471d0,/Date(1561725039097+0000)/,1.1.1.1,95,99,101,98
37705,WIFI,TN,172.253.11.4,102.159.16.242,TOPNET,99765873-08da-4194-95bb-736fc112b6cc,/Date(1561725041716+0000)/,1.1.1.1,100,139,57,98
37705,WIFI,TN,102.159.19.0,102.159.19.113,TOPNET,03c0d53b-6145-4d97-a707-41ac86510e08,/Date(1561725044248+0000)/,1.1.1.1,381,51,412,281
37705,WIFI,TN,41.226.16.50,197.1.27.224,TOPNET,4a8948ec-369f-4d4d-bcf2-78574497a592,/Date(1561725047524+0000)/,1.1.1.1,139,53,79,90
37705,WIFI,TN,41.226.16.50,197.0.129.32,TOPNET,24f1ca01-ebcf-4296-8f32-3e075fa7a799,/Date(1561725049066+0000)/,1.1.1.1,1897,1851,215,1321
2609,WIFI,TN,172.253.14.4,41.230.106.49,TOPNET,d611e9d3-abe5-48d2-81e8-dc92742c1328,/Date(1561725051225+0000)/,1.1.1.1,71,69,68,69
37705,WIFI,TN,197.0.226.0,197.0.226.84,TOPNET,97e75372-cf04-4d7a-84f8-15a22ea04891,/Date(1561725060949+0000)/,1.1.1.1,63,215,70,116
5438,WIFI,TN,212.73.224.145,41.225.162.124,ATI - Agence Tunisienne Internet,c9cc40bd-8d17-4b94-8331-394101d141ed,/Date(1561725061529+0000)/,1.1.1.1,132,83,74,96
37705,WIFI,TN,41.226.24.0,41.225.57.118,TOPNET,fcb4ba44-cb85-46cb-8874-1bfad7584cc4,/Date(1561725063034+0000)/,1.1.1.1,82,84,92,86
37705,WIFI,TN,41.226.16.50,197.2.151.29,TOPNET,74a81fb7-cecc-4359-b05a-10d3fd83de06,/Date(1561725039736+0000)/,8.8.8.8,168,33,47,82
37705,WIFI,TN,197.0.226.0,197.0.226.84,TOPNET,97e75372-cf04-4d7a-84f8-15a22ea04891,/Date(1561725041653+0000)/,8.8.8.8,26,32,32,30
37492,WIFI,TN,197.26.8.36,196.229.136.185,Orange Tunisie,afacf812-15fa-42aa-951e-57a45cd7e798,/Date(1561725042830+0000)/,8.8.8.8,47,52,154,84
37693,WIFI,TN,41.228.40.41,196.178.166.57,Ooredoo Tunisia,3dac5d73-9bc9-4a3f-9d2e-0f5677913f60,/Date(1561725042898+0000)/,8.8.8.8,177,162,159,166
5438,WIFI,TN,212.73.224.145,41.225.162.124,ATI - Agence Tunisienne Internet,c9cc40bd-8d17-4b94-8331-394101d141ed,/Date(1561725042986+0000)/,8.8.8.8,270,48,146,154
2609,WIFI,TN,172.253.12.2,41.230.95.102,TOPNET,61460d3a-cdc7-4726-93b1-cee22d470599,/Date(1561725043775+0000)/,8.8.8.8,77,58,69,68
2609,WIFI,TN,172.253.14.4,41.230.106.49,TOPNET,d611e9d3-abe5-48d2-81e8-dc92742c1328,/Date(1561725045898+0000)/,8.8.8.8,68,85,85,79
37671,WIFI,TN,193.95.59.24,41.225.64.90,Globalnet,7e546672-2933-4170-a35c-adff0d076de5,/Date(1561725047433+0000)/,8.8.8.8,99,162,51,104
37705,WIFI,TN,41.226.22.50,102.159.36.102,TOPNET,7bd409f8-3725-4408-a312-2de4d122ecf8,/Date(1561725048477+0000)/,8.8.8.8,217,170,161,182
2609,Ethernet,TN,193.95.66.53,197.10.128.5,Tunisie Telecom,0cd8db1a-1f3e-4d1d-aeb0-f29d165dcb5d,/Date(1561725049716+0000)/,8.8.8.8,,,,-1
2609,WIFI,TN,172.253.14.4,41.230.106.49,TOPNET,d611e9d3-abe5-48d2-81e8-dc92742c1328,/Date(1561725041680+0000)/,9.9.9.9,93,92,111,98
2609,WIFI,TN,172.253.14.4,197.14.118.141,TOPNET,3511cb38-f03f-4a4e-9c35-09cc403a3530,/Date(1561725043270+0000)/,9.9.9.9,57,59,62,59
37705,WIFI,TN,172.253.14.2,197.26.160.147,TOPNET,2236d354-f0a1-46ee-83c6-b705514e42f1,/Date(1561725043328+0000)/,9.9.9.9,88,86,85,86
37705,WIFI,TN,172.253.14.3,102.156.19.79,TOPNET,eea4660a-5242-4791-bfd8-2c09f7b9940c,/Date(1561725049654+0000)/,9.9.9.9,74,77,82,77
37705,WIFI,TN,197.0.226.0,197.0.226.84,TOPNET,97e75372-cf04-4d7a-84f8-15a22ea04891,/Date(1561725051739+0000)/,9.9.9.9,52,57,57,55
5438,WIFI,TN,212.73.224.145,41.225.162.124,ATI - Agence Tunisienne Internet,c9cc40bd-8d17-4b94-8331-394101d141ed,/Date(1561725051773+0000)/,9.9.9.9,78,219,72,123
37705,WIFI,TN,41.226.16.50,197.2.207.84,TOPNET,af3d6379-cf94-4efd-92a9-4808492ee30e,/Date(1561725054494+0000)/,9.9.9.9,92,76,85,84
37705,WIFI,TN,41.226.16.50,197.0.129.32,TOPNET,24f1ca01-ebcf-4296-8f32-3e075fa7a799,/Date(1561725056402+0000)/,9.9.9.9,113,156,237,168
37705,WIFI,TN,41.226.24.0,41.225.57.118,TOPNET,fcb4ba44-cb85-46cb-8874-1bfad7584cc4,/Date(1561725056992+0000)/,9.9.9.9,64,71,82,72
37705,WIFI,TN,41.226.22.50,102.159.36.102,TOPNET,7bd409f8-3725-4408-a312-2de4d122ecf8,/Date(1561725057054+0000)/,9.9.9.9,146,96,172,138
37203,Unknown,LR,,164.160.8.87,PowerNet Liberia,25707c2f-685b-4d41-bd3a-d23d5939a48d,/Date(1561725039339+0000)/,1.1.1.1,90,91,90,90
